sample_id,genotype,block_number,replica_number,dev_stage,leaf_number,leaf_zone,dag,common_dev_stage,common_leaf_age,tissue_designation,developmental_stage_dap,dev_group,metabolite,intensity
D11P19B,PT,1,1,14,9,Base,57,V10+,adult,PT_9_14,58,>9,acylcarnitine_15_3,7067
D11P29B,PT,1,2,14,9,Base,57,V10+,adult,PT_9_14,58,>9,acylcarnitine_15_3,5532
D11P19C,PT,1,1,14,9,Center,57,V10+,adult,PT_9_14,58,>9,acylcarnitine_15_3,6503
D11P29C,PT,1,2,14,9,Center,57,V10+,adult,PT_9_14,58,>9,acylcarnitine_15_3,6700
D11C19C,CML312,1,1,14,9,Center,57,V10+,adult,CML312_9_14,58,>9,acylcarnitine_15_3,11364
D11C19T,CML312,1,1,14,9,Tip,57,V10+,adult,CML312_9_14,58,>9,acylcarnitine_15_3,27724
D11P19T,PT,1,1,14,9,Tip,57,V10+,adult,PT_9_14,58,>9,acylcarnitine_15_3,8443
D11P29T,PT,1,2,14,9,Tip,57,V10+,adult,PT_9_14,58,>9,acylcarnitine_15_3,7522
D11C111B,CML312,1,1,14,11,Base,57,V10+,adult,CML312_11_14,58,>9,acylcarnitine_15_3,59874
D11P111B,PT,1,1,14,11,Base,57,V10+,adult,PT_11_14,58,>9,acylcarnitine_15_3,13739
D11P211B,PT,1,2,14,11,Base,57,V10+,adult,PT_11_14,58,>9,acylcarnitine_15_3,6091
D11P111C,PT,1,1,14,11,Center,57,V10+,adult,PT_11_14,58,>9,acylcarnitine_15_3,2088
D11P211C,PT,1,2,14,11,Center,57,V10+,adult,PT_11_14,58,>9,acylcarnitine_15_3,7584
D11C111C,CML312,1,1,14,11,Center,57,V10+,adult,CML312_11_14,58,>9,acylcarnitine_15_3,8092
D11P111T,PT,1,1,14,11,Tip,57,V10+,adult,PT_11_14,58,>9,acylcarnitine_15_3,19965
D11P211T,PT,1,2,14,11,Tip,57,V10+,adult,PT_11_14,58,>9,acylcarnitine_15_3,4198
D11C111T,CML312,1,1,14,11,Tip,57,V10+,adult,CML312_11_14,58,>9,acylcarnitine_15_3,7316
D11C113B,CML312,1,1,14,13,Base,57,V10+,adult,CML312_13_14,58,>9,acylcarnitine_15_3,58114
D11P113B,PT,1,1,14,13,Base,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_15_3,36882
D11P213B,PT,1,2,14,13,Base,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_15_3,10835
D11C113C,CML312,1,1,14,13,Center,57,V10+,adult,CML312_13_14,58,>9,acylcarnitine_15_3,31434
D11P113C,PT,1,1,14,13,Center,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_15_3,10042
D11P213C,PT,1,2,14,13,Center,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_15_3,6661
D11P113T,PT,1,1,14,13,Tip,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_15_3,12902
D11P213T,PT,1,2,14,13,Tip,57,V10+,adult,PT_13_14,58,>9,acylcarnitine_15_3,9173
D11C113T,CML312,1,1,14,13,Tip,57,V10+,adult,CML312_13_14,58,>9,acylcarnitine_15_3,40124
D12P24A,PT,2,2,12,4,Along,49,V10+,adult,PT_4_12,50,>9,acylcarnitine_15_3,9982
D11B15B,B73,1,1,12,5,Base,57,V10+,adult,B73_5_12,58,>9,acylcarnitine_15_3,10615
D11B15C,B73,1,1,12,5,Center,57,V10+,adult,B73_5_12,58,>9,acylcarnitine_15_3,4631
D11B15T,B73,1,1,12,5,Tip,57,V10+,adult,B73_5_12,58,>9,acylcarnitine_15_3,5363
D12P25A,PT,2,2,12,5,Along,49,V10+,adult,PT_5_12,50,>9,acylcarnitine_15_3,1283
D11B17B,B73,1,1,12,7,Base,57,V10+,adult,B73_7_12,58,>9,acylcarnitine_15_3,7091
D11B17C,B73,1,1,12,7,Center,57,V10+,adult,B73_7_12,58,>9,acylcarnitine_15_3,6441
D11B17T,B73,1,1,12,7,Tip,57,V10+,adult,B73_7_12,58,>9,acylcarnitine_15_3,33079
D12P27A,PT,2,2,12,7,Along,49,V10+,adult,PT_7_12,50,>9,acylcarnitine_15_3,8502
D11B19B,B73,1,1,12,9,Base,57,V10+,adult,B73_9_12,58,>9,acylcarnitine_15_3,23162
D11B19C,B73,1,1,12,9,Center,57,V10+,adult,B73_9_12,58,>9,acylcarnitine_15_3,3574
D11B19T,B73,1,1,12,9,Tip,57,V10+,adult,B73_9_12,58,>9,acylcarnitine_15_3,2799
